,x,y,z,momx,momy,momz,PSD1,PSD2,PSD3,PSD4,PSD5,PSD6,PSD7,PSD8,PSD9,PSD10,PSD11,PSD12,PSD13,PSD14,PSD15,PSD16,PSD17,PSD18,PSD19,PSD20,PSD21,PSD22,PSD23,PSD24,PSD25,PSD26,PSD27,PSD28,PSD29,PSD30,PSD31,PSD32,PSD33,PSD34,PSD35,PSD36,PSD37,PSD38,PSD39,PSD40,PSD41,PSD42,PSD43,PSD44,PSD45,PSD46,PSD47,PSD48,PSD49,PSD50,residual_Variance,subject_ID,Group,Cluster
0,-7.036590678432447,-66.97388445055694,5.885059674110673,4136.204307450876,-5137.975168183749,16259.351954946942,4.945166857556242,3.288159803395843,0.93899062167748,-0.3800559651044334,-1.4609073081676882,-1.6805756488403334,-0.8829671906924854,-1.340107186280686,-2.705740455120887,-2.99912382059986,-2.6097885479066747,-3.6545311221845553,-4.986647199666842,-6.518275621142805,-7.150790118576013,-7.838104400998502,-8.527446822878336,-8.390417188461372,-8.096540853421276,-8.471172511500706,-8.873967720546123,-9.54490734171394,-10.161942148249135,-10.656416030092284,-10.875287071372746,-11.325034444586217,-11.516586279841519,-12.028478874329362,-12.678647461788284,-12.054006087234793,-12.16018871750695,-12.878919980971965,-12.816136915688856,-13.032642218615461,-13.69174640599349,-13.76750589767263,-13.472520285658945,-13.675001005672272,-13.65926773114781,-13.93511486726435,-13.714540198836097,-14.0689769256352,-14.18296245732743,-14.15338360025215,-14.12596273036555,-13.942957260671545,-14.190601929843057,-14.163219026700382,-14.545697077486178,-15.807448015129392,0.05926006200695164,1,1,4
11,20.799219009300923,-101.52113297999738,-0.09308863570926826,-13036.04684078237,-14518.065070856477,24411.520081766193,-6.359455390544793,-7.720677100763571,-9.470955188452436,-10.847896378504151,-12.053497572547226,-12.679271226998523,-12.558786464136126,-12.459180232130564,-12.83598943794946,-11.966509622452895,-11.8808238826556,-12.407963883327099,-14.052300498782937,-15.774253806815503,-17.036880002008115,-18.190700210439182,-18.887834736664743,-19.451582472252255,-19.350224287678145,-19.749921932882376,-20.524791428871456,-21.164237388275467,-21.82813032822605,-22.21867271704635,-22.58822088123275,-23.078299374758608,-23.133972378628485,-23.22413300184563,-23.668672835302374,-23.47496221104481,-23.82716729230543,-24.506802212987246,-25.059038437967622,-24.675821065568936,-24.531416740166616,-25.01433891750655,-25.06618645033463,-24.9851767366913,-25.30828799966123,-25.46746509659854,-25.66854606303442,-25.903111046818758,-25.472150265343146,-25.456909535357042,-25.894142954045645,-26.42447838538955,-26.480660854907292,-26.626150783988933,-26.520018661772255,-27.624382473639866,0.050471295958041416,1,1,4
34,8.24083145469315,-76.833321100365,-0.9104787038969194,2011.136809989975,-27097.300543774178,1086.165364825271,-4.167992924446953,-4.920396581804422,-6.423283225386145,-7.555188074533196,-9.913999912321428,-10.712481025706461,-10.896953694177686,-10.852204389564083,-7.811917330130733,-6.021987749163019,-7.339071649948064,-9.277701244989377,-11.425396869146185,-13.71086544178347,-14.114666023839268,-15.288946445408326,-15.782489592711444,-16.056544183120543,-16.578155553862747,-17.157934232721605,-17.461766591276305,-18.348394023367597,-18.56188170244153,-19.347645243851563,-18.99316798670177,-19.110244397202095,-18.504939011382678,-19.210373809436383,-20.23465928750803,-20.412636092684288,-19.721615829987698,-20.455159567576132,-20.30535912683365,-20.716317592301454,-20.042903991071448,-19.73644752853989,-19.313711258051217,-19.298067537390565,-19.18666035777286,-20.31952884724586,-21.674872211916597,-20.90866358324083,-20.082727425712314,-20.493418530612008,-20.80969208066759,-21.34906378580153,-19.82531846806301,-18.299374648124257,-18.86241573355394,-21.634183303992216,0.05478008009265145,2,1,4
51,38.13799856476505,-100.80307289158013,0.1842067550121144,5781.369929305738,-29793.02836318413,-2588.718182074602,-14.89686883750458,-17.196939377918202,-19.19834737273608,-20.494924430602126,-20.920501167233333,-21.633334224377418,-22.312072761787846,-21.952946469625303,-21.270106477219585,-19.293781792605305,-19.479944464541635,-21.599633608629073,-23.40734644624749,-24.517401148508906,-24.732102493635807,-25.203406443427816,-25.56316849089181,-24.29518739351474,-24.45068427309,-25.714228447315236,-26.812970240303827,-26.896332851519965,-26.11769468042336,-25.9764928611457,-27.17265078152657,-26.551739125296578,-26.475704600261643,-27.592916389264044,-27.393605931003737,-27.450265195837815,-27.068660396376103,-27.15073551772605,-27.569980002719483,-27.093815188116324,-27.486378704434173,-27.322301526817565,-27.28017653812628,-27.319950270643346,-27.574154392962285,-27.30400911519247,-27.192898196720947,-27.50179675466388,-27.93438769140578,-28.059462721584637,-29.016903978471703,-29.60732982424232,-29.41745205843553,-29.27761763932032,-29.339414988330766,-30.349558185311377,0.09050212573106782,2,1,4
55,6.221556920713749,-67.97774395178062,-7.573076922884199,-6101.737469424672,-9405.451306166402,20275.41893262179,4.83057157794076,3.3442090861807428,1.6359782171840034,1.258030932408252,0.40510740430594055,0.001025214339755891,-0.765837794276921,-1.580566327302785,-2.059804370277833,-1.0469948022052615,-1.540809532628162,-3.5036418275863834,-5.821351554189549,-7.134688853274938,-7.751138636483827,-8.234580450340871,-7.975172626168804,-8.07818174423112,-8.260869945486828,-8.404883246282369,-9.026806501049032,-9.720657540024215,-10.087540897712435,-10.203547807992798,-10.585152678582087,-10.55929084095295,-10.749210903874815,-11.17224523622365,-11.595049241070761,-12.027635025163184,-12.21232711412994,-12.324900663905998,-12.13307284107967,-12.342724419963462,-12.369744990997372,-12.348446153886993,-13.164982113927701,-13.427136167486687,-12.800267865325711,-13.419455490246282,-13.411446329017863,-13.740357935107362,-13.709792523625596,-13.271657712379369,-13.161713031783846,-13.378112269703815,-13.46862929908011,-13.767897426960726,-14.140314790063758,-15.412313658957583,0.08518176661643789,3,1,4
81,1.7501524846038496,-61.63686086535063,14.829117551186487,-1420.275906136003,-15697.365168049093,16060.6381753448,1.8267632462343903,0.43314941333249435,-1.3404109261788624,-3.533267297387779,-4.513665044087145,-4.726840157844672,-4.784269774573552,-4.59153067117701,-3.224962712655474,-0.144323748850527,-2.0939241094104517,-6.025869103247629,-8.358167897498486,-9.702195079390696,-10.296741097927963,-10.320000363757483,-10.451266677813887,-11.081334653462676,-10.693292776553962,-9.853566153624854,-10.984939814758889,-11.899057667748318,-12.341964686808623,-13.496268970627279,-14.590367763936278,-14.83451151274834,-14.718013710498411,-14.53684311677307,-15.001049127325647,-15.313244107381347,-15.92315697901652,-15.867326134048099,-15.544491001702612,-15.880841245521474,-15.860739780861612,-16.070834144828325,-16.36622205434232,-16.576911473389014,-16.51042852294199,-16.56618319500321,-16.541990668795826,-16.767186146360075,-16.672567871510104,-16.951376039186762,-17.14820110417837,-17.02115421876079,-17.365914674930224,-16.96784172664733,-17.54970753598036,-18.580302156352836,0.04182353278389889,4,1,4
105,6.485144767801739,-70.63915499868196,9.960808464599046,1998.7607338665418,-16830.908711306794,13478.403218980166,1.8118995961815192,0.6866399909603355,-1.920886421703846,-3.7009997344932937,-4.249643821445463,-3.5360237302765007,-2.293769437795903,-0.8069638754106228,1.3970844504095652,4.983232036519436,3.2177876763229674,-1.8018822701610238,-5.342815692936208,-7.084029281400444,-8.598264051468798,-8.903403660273497,-9.063193601990495,-8.929126275341137,-8.910676856632843,-8.105463136449576,-8.513954916263959,-9.654880791492426,-10.220670740711288,-10.645968902307848,-11.409433613519546,-12.71308468315164,-13.175136673472988,-13.228071254386538,-13.44813211452086,-13.330615712291591,-13.989939321347098,-13.871609021924506,-14.274683054713805,-14.639245815218304,-14.80714798621128,-15.314609654785102,-15.401877487056161,-15.28495474607607,-15.471928229434742,-15.574230892734205,-15.530476420012997,-15.970031283828119,-15.79958637726806,-15.56617024358152,-16.03461200363318,-16.000006641745408,-15.951311895915497,-16.02593922537709,-16.187000936620805,-17.613542309998444,0.029882999461342142,5,1,4
106,10.593240927768177,-74.328254491607,20.83544631468164,502.501948180377,-18096.649362005744,-11338.570191626914,-1.4706714073101446,-2.117087199496975,-3.9489215234193153,-5.1977849746556,-4.9861499839433145,-4.957790316638311,-4.8720871484254715,-3.370730389822097,0.4437811165308251,5.239708971818789,3.6334348498847473,-2.1236262845747236,-6.234395848712026,-8.461043105174335,-9.533964328058723,-10.075950265338133,-10.494046459648079,-9.975627457747624,-7.924315975289108,-5.825059117894298,-6.221927808264301,-8.091577519991024,-10.619567306659185,-12.105071314555264,-12.80263643106489,-12.829156687528538,-13.127267956949938,-13.776318207094496,-13.855416335650139,-14.094972522722806,-14.676028530509111,-14.794864051193073,-14.982636155244816,-15.4091078147122,-15.467273103136785,-15.809584824218268,-16.07621209258701,-16.393346345624597,-16.004033611402853,-16.087904566593533,-16.256300415193515,-16.735126849535884,-16.42295303267265,-16.16579554143434,-16.538133202866277,-16.743484488882313,-17.25488369916112,-16.789168031672958,-16.253523185829877,-17.72081392982588,0.008746749663454586,5,1,4
112,-0.6739847907103079,-107.99583373474461,-7.784473556551645,-24772.4947423188,9504.960943553604,-1401.678073182372,-8.173143684410327,-8.816878951270809,-11.225526198500894,-13.301859276013632,-13.426532227573793,-13.245607363171409,-11.37949351816437,-8.27452520841116,-4.26170041248515,-0.09776224885876607,-1.7398191710309092,-8.121893645770182,-12.91827784998362,-14.941628168366341,-16.852815910354,-17.072205566173853,-17.062015064732595,-16.466384251935636,-15.2111734691422,-13.308690765917008,-13.357824001012158,-15.353059913282594,-17.674714596086485,-19.486993818208227,-20.29064593052755,-20.797212390956492,-21.445565221627376,-21.698699391309514,-21.511642773104708,-21.509539773678256,-22.337462165993145,-23.04877041112791,-23.396711157684983,-24.32457819530648,-24.598192511655714,-24.51044347625753,-25.064913339782745,-25.11223658160665,-25.341821827217696,-26.15331352106569,-26.269390337659168,-26.14113382158265,-26.509240522565083,-26.64368188454403,-26.780956601528327,-27.244068688854554,-27.32222952918765,-27.162234420224898,-27.527153845459583,-28.88218236815518,0.04012147034067882,5,1,4
139,24.2675281837869,-88.70456915341065,17.9008712086329,-25679.301485559932,-8309.319649954732,13609.657602672612,-2.1774117460113707,-3.242315043098518,-4.753594559206908,-5.702098809364264,-5.983676484105712,-6.396884327685911,-7.00990595178938,-6.74489864746869,-4.527580137183985,-3.179985420578987,-2.8198319910178906,-5.613223595864496,-9.395960141468688,-11.749669045729794,-12.997584267045504,-13.575946927957691,-14.598931827848723,-14.398447101651525,-14.361444912237562,-14.459637283671325,-14.300658838637126,-14.574560607182217,-15.89694776125156,-16.77888267924909,-17.457273417832987,-17.81192417027681,-18.533276110184552,-18.500599370315523,-18.936951108912204,-19.06568620094587,-19.16806020591207,-19.38631553951199,-19.64917472424107,-19.840738503999386,-19.63554517795501,-19.61721505755684,-20.22863708973869,-20.925933539825007,-21.028023655453964,-21.055749822725854,-21.388123416665966,-21.210676935696707,-21.667982804595226,-21.831791029382472,-21.807544352588472,-22.029363213587516,-22.184667677455092,-22.44914953437369,-22.715636254564544,-24.156475020857297,0.009020095543522866,6,1,4
165,-15.65561647769648,-101.17170492102332,-19.116670441632422,-7804.109645208436,-26004.137112465665,-5850.628393714285,-1.437864895601595,-6.266355923901892,-8.79279601188619,-10.03446391619201,-10.128583566141101,-9.595801486115336,-8.754388325655798,-8.179731877868681,-7.6632879069416315,-6.579993632429423,-5.791581812988471,-6.170017915783395,-6.7808330632520075,-7.72859221040717,-7.750046514205051,-8.320557985298048,-9.167761717730041,-9.217290034389169,-9.041518131269,-8.044258388832326,-8.171759142745987,-8.786432159009154,-8.563707219479944,-8.385822066945934,-8.444223939160505,-7.952448400306137,-7.809421263701894,-8.62049331725931,-8.009017968888475,-8.519326143819303,-8.334366453090771,-8.973126509813302,-9.058934914482716,-8.804052947297583,-8.025656639028295,-8.130973305352008,-8.395903209420414,-7.999889475153141,-8.305002136712607,-8.51659815564563,-8.536713525315285,-8.23749883680327,-8.156452501086504,-8.36379024370146,-8.117191700184115,-7.855000591127116,-8.361077413990834,-8.757885418032089,-9.178726143312442,-10.683021856219959,0.006380612098569,17,1,4
182,-29.92603403897846,-111.40113820351387,4.437396386192205,5062.460316423632,4085.341384309472,-583.7567340595028,-9.839484655468562,-14.28632307727949,-17.39619924866483,-20.46178288087169,-21.57652136577272,-21.923843202873563,-22.691344665172583,-23.4595679872834,-22.5801622762912,-22.767808518071032,-23.392500388463855,-23.932030972047585,-24.17519769543724,-24.374120919685673,-25.082479242077923,-25.654339453479906,-26.248101030477343,-26.650198467236947,-26.62804892994761,-26.506654213915454,-26.874994513354522,-27.266636710365084,-27.592409120699543,-27.457245052124627,-27.327197299563373,-27.364006981197882,-27.33280767603263,-27.63159797623341,-28.3568254909476,-28.387559138865534,-27.94615269481035,-28.182631183731,-28.357878957147346,-27.914591054955523,-27.31634757151811,-27.635886004572484,-27.82811990794587,-27.87621743580829,-28.170433065911755,-28.249771521341085,-27.95759371230894,-27.74982667620842,-27.621163434119715,-27.827012957395606,-28.28144709897842,-28.367551847287533,-27.96791987579546,-28.17662532978321,-28.556707012698062,-29.71127496036866,0.033873525092783054,17,1,4
188,10.066583943126888,-90.91512766392093,-12.588559667423675,3548.0277155807853,-25089.472586752952,2800.325266818094,-6.004385703792785,-7.776996400360483,-9.315103872355252,-9.438437642663303,-10.49504198859701,-10.574609751111064,-10.22518003498533,-9.181570383584761,-8.126776749213095,-6.250254826016246,-6.362572632524513,-7.211741308255153,-8.558639817654331,-9.331766204504644,-10.477315464563727,-11.088182193790917,-10.932838677345229,-11.512943448414727,-11.772831922158407,-11.646576150486421,-12.368852866411363,-12.801115490440136,-13.187035322391608,-13.56610880967443,-13.28607408300198,-14.19789754630932,-14.087640224767199,-14.46838809517585,-14.317048228747408,-14.549818091496338,-14.59549046702623,-14.633131495720445,-14.873207255873114,-14.517493788838609,-14.457683934437888,-15.308615508865257,-14.955695363817929,-15.162182287500057,-15.273902355931368,-15.480887242950573,-15.81011858192615,-15.71685085891625,-15.157141636881928,-15.47896245228882,-16.186431701633126,-15.877682519145818,-15.770123104142835,-15.543141151120516,-15.170568338726344,-16.78192713585142,0.014306835230746459,18,1,4
